TARGET-40-0A4HLD	TARGET-40-0A4HMC	TARGET-40-0A4HX8	TARGET-40-0A4HXS	TARGET-40-0A4HY5	TARGET-40-0A4I0Q	TARGET-40-0A4I0W	TARGET-40-0A4I3S	TARGET-40-0A4I42	TARGET-40-0A4I48	TARGET-40-0A4I4E	TARGET-40-0A4I4M	TARGET-40-0A4I4O	TARGET-40-0A4I5B	TARGET-40-0A4I65	TARGET-40-0A4I6O	TARGET-40-0A4I9K	TARGET-40-PAKFVX	TARGET-40-PAKUZU	TARGET-40-PAKXLD	TARGET-40-PAKZZK	TARGET-40-PALECC	TARGET-40-PALFYN	TARGET-40-PALHRL	TARGET-40-PALKDP	TARGET-40-PALKGN	TARGET-40-PALWWX	TARGET-40-PALZGU	TARGET-40-PAMEKS	TARGET-40-PAMHLF	TARGET-40-PAMHYN	TARGET-40-PAMJXS	TARGET-40-PAMLKS	TARGET-40-PAMRHD	TARGET-40-PAMTCM	TARGET-40-PAMYYJ	TARGET-40-PANGPE	TARGET-40-PANGRW	TARGET-40-PANMIG	TARGET-40-PANPUM	TARGET-40-PANSEN	TARGET-40-PANVJJ	TARGET-40-PANXSC	TARGET-40-PANZHX	TARGET-40-PANZZJ	TARGET-40-PAPFLB	TARGET-40-PAPIJR	TARGET-40-PAPKWD	TARGET-40-PAPNVD	TARGET-40-PAPWWC	TARGET-40-PAPXGT	TARGET-40-PARBGW	TARGET-40-PARDAX	TARGET-40-PARFTG	TARGET-40-PARGTM	TARGET-40-PARJXU	TARGET-40-PARKAF	TARGET-40-PASEBY	TARGET-40-PASEFS	TARGET-40-PASFCV	TARGET-40-PASKZZ	TARGET-40-PASNZV	TARGET-40-PASRNE	TARGET-40-PASSLM	TARGET-40-PASUUH	TARGET-40-PASYUK	TARGET-40-PATAWV	TARGET-40-PATEEM	TARGET-40-PATJVI	TARGET-40-PATKSS	TARGET-40-PATMIF	TARGET-40-PATMPU	TARGET-40-PATMXR	TARGET-40-PATPBS	TARGET-40-PATUXZ	TARGET-40-PAUBIT	TARGET-40-PAUTWB	TARGET-40-PAUTYB	TARGET-40-PAUUML	TARGET-40-PAUVUL	TARGET-40-PAUXPZ	TARGET-40-PAUYTT	TARGET-40-PAVALD	TARGET-40-PAVCLP	TARGET-40-PAVDTY	TARGET-40-PAVECB
RPL31	625.728169	1524.874928	409.11752419	2993.80398	2414.7181948	3155.77214	2012.9034	1005.658912	1723.58428	554.156914	2196.939031	961.752838	2141.192668	1330.883804	475.341922	1243.8578133	861.132565	4473.598773	2057.468312	1607.631577	2248.598395	1779.17783	971.894249	3548.82706	2063.598179	1867.639844	1193.326608	4500.071602	2239.07907	2041.742338	4578.6549	2295.868039	4128.606318	2146.107035	3752.349538	1863.834182	1733.471876	1486.344977	751.66101	3438.159841	2715.831955	1457.257173	4423.637833	2170.552591	1640.83215	3189.259437	1527.6769758	3906.989344	1589.56905	1651.753053	1831.560215	1820.840743	2216.03463	7224.880035	3581.457181	1350.189825	3824.734891	1391.6818844	2449.856509	1973.660975	962.326689	3218.93093	1323.587077	1774.665045	2236.272458	1527.580932	1336.668417	1068.94353	2437.68268	2881.897451	2714.211743	3551.03356	3255.18852	1889.457792	3787.20299	2701.6320954	2529.058473	2531.470734	4084.81834	2043.865283	3063.050965	1105.267189	3332.300071	741.56753	1230.433933	1165.7929344
GATA1	0	0.0869367	0.126652	0.00998308	0.769046	0.04991517	0.1643058	0.0575194	0.0132577	0.107378	0.0845383	0.0431049	0.0221046	0.0839701	0.0943782	0.10213	0.1550035	0	0.00964822	0.0249138	0.0226447	0	0.0227404	0	0	0.0547033	0	0	0.0325551	0	0.0121103	0	0	0	0.0047695	0.0849948	0.0260539	0	0.0783291	0.0394946	0	0.2522482	0.0250335	0.0433124	0.0482445	0	0.00815942	0.0306803	0.508396	0	0.00633176	0.0130227	0	0	0	0	0	0.0403854	0.0389658	0	0	0.0263333	0	0.0128759	0.0736879	0.0784132	0	0.08009182	0.1043779	0.0916797	0.0548312	0	0.0287752	0.00713593	0.66469	4.426414	0	0	0.0426408	0.0274411	0.0804478	0	0.048424	4.25482	0	0
RPS19	818.817739	2585.155264	2007.79572	2501.126108	4538.139932	1703.853591	1363.098732	1116.10655	1871.87866	1696.569446	3581.837277	850.700277	2590.03495	1270.624608	693.08521	878.7052598	1986.360272	2921.69885	2631.488879	1558.358365	1303.67338	1725.580227	1022.808204	2933.596442	2056.38765	3163.047015	1462.965542	1754.622694	1915.29036	2013.366276	1910.96325	1304.908187	5687.445244	1974.918663	1955.846329	1094.625716	1970.786808	2193.232271	1093.976988	1479.945461	1431.62395	1302.11637	1613.929011	2528.183541	2447.455985	1840.44273	2150.195221	3334.32835	1907.96191	2693.248622	1820.471089	2031.571117	3015.66194	4938.153268	1195.289536	1539.82304	1851.031177	1569.973145	1998.88244	1567.819859	1114.792886	2393.02493	754.37485	1554.272028	2252.209746	1449.923857	2074.123949	1048.434533	3217.871286	1267.434538	1685.883836	2003.04771	1455.10076	1569.77798	2884.83664	1396.94504	1256.321502	2640.451201	1708.53254	668.834802	861.224805	552.260245	2420.233451	871.11854	1457.390961	2519.945212
RPL5	666.96319	887.874337	647.42692	837.565187	1311.33764	1492.55076	419.428709	827.59326	766.97753	755.91722	1396.370434	554.910984	872.479738	1040.33111	458.664267	675.030231	400.777046	2374.551789	743.539964	1952.34846	787.025817	994.369981	346.243788	1098.715238	875.997841	1570.175771	834.701528	1322.34406	1347.25478	697.52433	1071.32351	1074.935061	2244.169602	1463.68201	1828.131375	936.256883	823.264714	1489.089674	1282.9089	1260.55884	825.31893	955.11177	975.12214	1730.561342	1729.825897	2519.7478	845.74929	2884.50491	803.9272	1863.492503	870.730195	970.67663	1348.01805	2179.85534	1111.972808	817.36093	1611.505721	837.100247	2529.94705	1384.268479	1446.53769	1566.129079	1238.9886	1217.86083	1899.815087	1131.64121	2784.41945	782.752674	1730.470887	887.94873	1428.83488	2282.42146	1505.6971	1238.91858	1156.824079	1090.00355	1034.020999	1068.976898	1122.26031	739.339866	648.374094	1809.493035	1355.95487	501.21899	1863.39975	812.947231
RPS10	745.200576	1786.569098	1437.22523	920.184861	2645.878945	1973.317156	1172.273573	1050.24381	712.373981	1336.772394	2858.23733	1238.910146	1492.62655	1034.969942	980.117988	832.616343	488.427282	2789.7474684	1714.674739	1869.914342	1385.272971	1143.188432	638.92654	2184.27245	1998.180425	1764.618571	1131.363978	1502.348148	1483.963673	973.446648	666.1631928	1250.025094	5243.354637	1620.5054596	3711.79502	1108.290587	656.211619	913.46912	1084.931492	1353.025978	774.62337	1169.668046	977.391171	2232.619957	1467.051881	1588.290544	1013.604793	5381.869626	1430.100155	3128.664462	619.889385	1762.362505	1398.245792	1959.179696	1109.574165	732.988254	1132.36998	541.357287	1727.347023	1458.812818	692.009377	2239.32496	2468.33183	1477.626682	2537.81193	1156.449228	781.268779	863.374147	2246.366587	1425.37601	1365.9376498	3015.83492	1035.69063	999.787573	1557.82738	1376.072752	1156.948092	1369.068238	1612.16447	1103.352001	1282.780058	1034.4439678	1970.586122	762.597028	1067.27228	1153.52679
RPS24	900.810677	2305.548316	1156.738831	1819.487859	2367.800154	2275.16596	1074.2759777	1715.286935	1563.545075	873.2432482	3108.77	1184.139383	1754.091486	1846.54424889539	917.926983	1175.3487874	732.3580654	4323.72158	1414.141636	2029.202876	2210.219623	2120.481611	988.287272	2820.234314	2603.967765	2514.871646	1524.6220042	4264.483449	2623.29381	1276.9485515	2866.2772035	3322.776725	6077.985658	4235.913299	5039.759629	1759.986169	1625.983868	3071.198639	1402.929455	2679.548227	1271.501807	986.883492	2995.040036	3773.5270241	3948.29209299	2633.615413	1919.571219	8053.85215	1599.557116	7323.729032	1188.3649685	3989.020088	3594.236539	4499.813038	2719.967052	1383.237797	2457.309378	1180.408767	2020.287351	1264.3755841	949.743696	2705.2530359	1952.924126	1019.870894	2658.435401	2972.285137	2738.7908571	3542.4171192	7017.689305	2791.536179	2314.971354	5054.18894	3644.675228	2241.915938	2347.320794	1307.832766	1962.27002	2069.3557408	812.7358436	2267.7914206	1324.081256	1194.999644	2137.54384925086	828.1072375	1950.4530962	1222.046124
RPL11	1320.295996	1380.652388	594.186789	1732.89441	2691.339663	2886.446386	793.997944	913.565659	1041.73556	1077.161974	2558.48567	577.824283	1633.50778	1416.16812	508.865424	1084.06936	469.592129	4232.661507	1452.33464	2964.02028	1797.85118	1761.361386	687.313887	2980.722513	1443.56083	1140.352469	1819.409744	2500.63385	1802.44075	1248.629033	1856.762014	1783.94286	5098.23655	1649.412865	4286.89884	1415.304863	1473.807976	2388.094496	1941.662762	2491.04817	1287.819513	1380.90992	4462.33022	2401.274768	2084.68567	1696.423213	1172.019581	5326.76569	1316.79108	2481.150071	2750.482016	2119.364059	1903.96591	4649.24624	1739.12746	1447.12223	2672.80244	1659.000759	3081.38097	1858.655853	1057.590208	1771.9566	984.02323	1594.648999	3294.715922	1602.779643	1823.15185	1225.05205	2511.954571	2892.91286	2179.66917	3476.65702	1677.786084	1688.30825	1873.58826	1182.48606	1657.60092	2188.618655	2398.63457	1183.863433	1172.297287	1151.646629	1134.712891	763.912367	1090.374438	1570.239519
RPL26	849.39353	1773.807638	615.03622	1171.36281	3613.990803	2658.42628	1119.609202	806.313266	3110.065565	670.058634	1464.237598	1454.968729	2975.89574	1459.383449	990.589394	713.605981	702.269647	3678.3025319	1734.86995	1644.116838	2112.967895	1752.568407	1411.206556	51541.17822	1477.754115	4919.542558	1163.254933	2003.949391	1282.764791	746.327244	5678.60819	1040.88014	2513.991398	1707.609922	3810.663104	1928.100392	1343.014879	1545.522289	2075.335527	1660.196528	1891.442924	1577.87435	1733.349371	4310.521439	2337.58541	8532.94632	3340.092278	4794.350089	1152.655787	8622.51957	881.745628	2866.734712	1235.522167	3165.908792	3162.604032	890.610582	3533.791922	1344.55906	2240.680517	2393.256796	619.266407	1613.744218	1652.896393	1272.310198	5523.478878	2131.023066	4696.513451	1684.689857	1886.879974	1002.736503	6980.55703	2375.24812	1691.683817	2230.006085	1239.178524	4293.399657	6307.33729	1252.740233	867.354152	1047.919219	2225.550063	3371.223114	2404.702981	517.838395	2456.996787	1969.078218
RPS7	419.834133	863.194962	663.151867	577.133943	1043.427078	1050.923624	444.489987	469.600628	421.146338	899.866541	1460.206487	485.836535	996.971236	482.195794	523.887567	610.271062	386.611254	1347.04665	663.242072	1321.785636	621.8169	780.484808	420.61725	876.629779	600.193492	686.767415363496	947.751835	2592.8922	509.944247	475.714521	1855.30335	909.762846	2606.542675	1478.74845	2279.379521	892.791348	979.602628	530.848588	735.350113	712.86014	524.499346	650.31084	963.07686	797.75898	522.207752	2078.354756	852.705728	1831.20543	830.722635	3468.095938	762.683147	804.659245	1261.175198	1941.441578	964.476591	713.72279	3251.527036	512.830993	853.406011	590.947982	346.183288	1440.411608	569.7725	413.424564	1221.0900847	909.398452	1372.23461	494.781331	1830.6368	1366.71973	652.2439501	1289.70287	1502.58566	942.715156	690.94273	671.143445	907.7836915	1444.740057	889.14454	1152.51455	668.854226	768.867206	1055.921708	391.710433	1053.689897	1251.0350468
RPL15	492.553175	1035.386177	847.304099	533.254528	1289.914031	981.943271	1558.58543305	1523.608692	821.459927	1192.6153019	2066.832352	917.2328918	1010.619662	604.607012	936.30171	461.66467	856.269793	1924.518888	861.635723	1394.631761	1021.399745	1028.255441	751.781429	1299.47198	1917.575034	1308.320653	1071.53116	1240.095764	1210.870704	705.09319	785.351119	799.62676	1049.321559	1115.545283	1604.870251	1103.431851	1093.852743	1257.295623	809.581743	1043.150943	502.475137	858.649888	1012.382706	1115.970848	1189.552475	2245.10182	855.29335	1580.512414	600.12989688484	2570.148499	590.240661	1203.876506	981.66094	1910.45655	1717.294114	1223.092551	2262.164029	859.50725	1273.065701	1161.994295	575.907211	1472.451225	886.77331	545.138221	853.592471	907.674741	1168.087982	640.649422	1355.535674	610.216744	1049.684687	1937.852071	1504.88621	1162.07633	1470.746581	1129.3657	1071.878002	759.947609	608.757143	1087.7466	875.328293	1100.424646	2269.717455	414.072940001217	799.305205	1150.92691
