Probe	logFC	A	pvalue	adjpvalue
hsa-miR-1183	7.953522038	5.654144539	5.12E-06	0.000231084
hsa-miR-1290	6.535386782	7.614511909	3.28E-06	0.000231084
hsa-miR-575	6.421347863	7.187740983	0.000173742	0.001472783
hsa-miR-1246	5.619850349	9.670292283	3.60E-06	0.000231084
hcmv-miR-US33-5p	5.20456365	2.904112045	4.72E-06	0.000231084
hsa-miR-125a-3p	4.571550612	3.479241352	0.000101636	0.001125822
hsa-miR-601	4.407051227	2.485737985	5.42E-07	0.000171234
hsv1-miR-H1_v14.0	4.386067458	2.641749004	2.96E-05	0.000599918
hsa-miR-513a-5p	4.154273417	3.037777681	6.45E-06	0.000254938
hsa-miR-1225-5p	4.148868611	7.798322567	0.001275968	0.005103872
hsa-miR-654-5p	4.059746639	2.450976166	3.77E-06	0.000231084
hsa-miR-1308	4.029176296	4.513065768	0.0027714	0.008846085
hsa-miR-1268	3.848328551	7.609776482	1.31E-05	0.000461667
hsa-miR-422a	3.762666768	2.006005722	2.05E-05	0.000492909
ebv-miR-BART16	3.74235197	2.055993856	0.000234427	0.00168186
hsa-miR-630	3.697188237	8.901616769	3.16E-05	0.000599918
hcmv-miR-UL70-3p	3.652279455	4.148230572	0.011280194	0.025644182
hsa-miR-1224-5p	3.539862559	2.961234375	2.18E-05	0.000492909
hsa-miR-483-5p	3.451249372	4.792381464	0.008192637	0.019762391
hsa-miR-595	3.450916933	2.214144293	0.000711037	0.003481845
hsa-miR-1202	3.428922521	7.327862595	0.015376395	0.033509936
hsa-miR-134	3.371350819	4.870489725	0.000473441	0.002579438
hsa-miR-1306	3.348810767	2.678185501	0.000103319	0.001125822
hsa-miR-923_v12.0	3.347277144	13.33070483	0.000613541	0.003127081
hsa-miR-520e	3.293368069	2.194617374	1.85E-06	0.000231084
hsa-miR-1826	3.278083479	2.6455125	0.000387978	0.002313229
hsa-miR-1207-5p	3.25547673	7.92410877	0.00674387	0.017048505
hsa-miR-1471	3.172783731	2.39366562	0.00017694	0.001472783
kshv-miR-K12-3	3.138122299	5.57401174	0.007142052	0.017770774
hsa-miR-32*	3.063632078	1.78189355	0.002025494	0.007111735
hsa-miR-638	3.021161051	7.535643961	0.000186958	0.001514843
hsa-miR-188-5p	2.947788147	6.241935029	0.013076341	0.02889597
hsa-miR-126	2.814161746	2.141172358	0.006223712	0.016120434
hsa-miR-513b	2.793930786	1.89309612	0.000268754	0.001791382
hsa-miR-451	2.789234028	4.995883947	0.004044663	0.012057675
hsa-miR-339-3p	2.786183424	1.678572447	0.000905224	0.004145665
hsa-miR-877	2.709365171	1.909379628	4.39E-05	0.000730762
hsa-miR-520b	2.676358967	3.35423728	2.03E-05	0.000492909
hsa-miR-1914*	2.661522574	3.685151474	0.014002927	0.030728644
hsa-miR-765	2.628185076	3.883722376	0.021600025	0.043700341
hsa-miR-574-5p	2.508098055	5.558635304	0.025181101	0.048817349
hsa-miR-671-5p	2.469335055	3.042908989	0.000397285	0.002324853
hsa-miR-320c	2.427813614	8.145354723	0.000596087	0.00310469
hsa-miR-1228*	2.423313174	1.628283502	0.00264107	0.008603898
hsa-miR-371-5p	2.40234244	1.865740842	0.000100617	0.001125822
hsa-miR-1182	2.337117733	2.173154354	6.74E-05	0.000967391
hsa-miR-223	2.336515438	7.623220013	0.001550205	0.005797496
hsa-miR-572	2.257034803	2.998530484	0.010248342	0.023638511
hsa-miR-887	2.221185539	1.657542811	0.001752071	0.006363845
hsa-miR-198	2.215201614	2.48910757	0.000554416	0.002969416
hsa-miR-516a-5p	2.176173591	1.698332688	0.000177107	0.001472783
ebv-miR-BART13	2.172938699	3.572818313	0.005737183	0.015329554
hcmv-miR-US4	2.136609579	1.561550949	0.000126598	0.001287145
hsa-miR-939	2.060473226	4.119044817	0.002274201	0.007754388
hsa-miR-636	2.056917153	1.180058748	0.001499315	0.005708237
hsa-miR-1180	1.984012076	1.829003302	0.007755367	0.018851507
hsa-miR-659	1.910765403	1.802569789	7.88E-05	0.001082815
hsa-miR-382	1.895494916	1.565448364	0.005290491	0.01453735
hsa-miR-1226*	1.895323042	2.580014002	0.000157739	0.001424156
hsa-miR-877*	1.837842029	1.236166453	0.000599323	0.00310469
hsa-miR-486-5p	1.695602487	2.094431259	0.020221714	0.041765108
hsa-miR-1249	1.67872123	3.709828293	0.002282146	0.007754388
